"Well","Content","OD405","pct_B_B0","predicted_conc","result_flag","Plate","Experiment","Drug","Infection"
"G11","",0.385,38.4700973574409,147.490506135264,"OK","Plate3","","",""
"G12","",0.153,-0.250347705146036,NA,"> 1000","Plate3","","",""
"G4","Exp3 C100 B10 (1/1)",0.526,62.0027816411683,55.6377975513662,"OK","Plate3","Exp3","C100","B10"
"G5","Exp3 C1 L10 (1/1)",0.485,55.1599443671766,74.6203888761508,"OK","Plate3","Exp3","C1","L10"
"G6","Exp3 C100 L10 (1/1)",0.434,46.6481223922114,105.546892043395,"OK","Plate3","Exp3","C100","L10"
"G7","Exp4 C1 B10 (1/1)",0.379,37.4687065368567,153.831796585028,"OK","Plate3","Exp4","C1","B10"
"G8","Exp4 C100 B10 (1/1)",0.503,58.1641168289291,65.767789909855,"OK","Plate3","Exp4","C100","B10"
"G9","Exp4 C1 L10 (1/1)",0.442,47.9833101529903,100.004819012704,"OK","Plate3","Exp4","C1","L10"
"H10","Exp4 C100 L100 (1/1)",0.425,45.1460361613352,112.156096614968,"OK","Plate3","Exp4","C100","L100"
"H11","",0.371,36.1335187760779,162.812775577141,"OK","Plate3","","",""
"H12","",0.153,-0.250347705146036,NA,"> 1000","Plate3","","",""
"H4","Exp3 C100 B100 (1/1)",0.499,57.4965229485396,67.6593998454399,"OK","Plate3","Exp3","C100","B100"
"H5","Exp3 C1 L100 (1/1)",0.494,56.6620305980529,70.0830923936915,"OK","Plate3","Exp3","C1","L100"
"H6","Exp3 C100 L100 (1/1)",0.442,47.9833101529903,100.004819012704,"OK","Plate3","Exp3","C100","L100"
"H7","Exp4 C1 B100 (1/1)",0.431,46.1474269819193,107.704191210181,"OK","Plate3","Exp4","C1","B100"
"H8","Exp4 C100 B100 (1/1)",0.525,61.8358831710709,56.0536249669909,"OK","Plate3","Exp4","C100","B100"
"H9","Exp4 C1 L100 (1/1)",0.451,49.4853963838665,94.1120011881424,"OK","Plate3","Exp4","C1","L100"
